2023-06-21-17:10:08.880263 Motor1-0.0 Motor2-1.562 ImgX-507 ImgY-277 F-2016.0 Strain-?
2023-06-21-17:10:08.942098 Motor1-0.0 Motor2-1.879 ImgX-538 ImgY-277 F-528.0 Strain-?
2023-06-21-17:10:09.003933 Motor1-0.0 Motor2-2.247 ImgX-549 ImgY-276 F-0.0 Strain-?
2023-06-21-17:10:09.073747 Motor1-0.0 Motor2-2.503 ImgX-550 ImgY-277 F--48.0 Strain-?
2023-06-21-17:10:09.131592 Motor1-0.0 Motor2-2.761 ImgX-551 ImgY-277 F--96.0 Strain-?
2023-06-21-17:10:09.192508 Motor1-0.0 Motor2-2.863 ImgX-552 ImgY-278 F--144.0 Strain-?
2023-06-21-17:10:09.254344 Motor1-0.0 Motor2-2.908 ImgX-551 ImgY-278 F--96.0 Strain-?
2023-06-21-17:10:09.317177 Motor1-0.0 Motor2-2.907 ImgX-551 ImgY-277 F--96.0 Strain-?
2023-06-21-17:10:09.382004 Motor1-0.0 Motor2-2.81 ImgX-551 ImgY-277 F--96.0 Strain-?
2023-06-21-17:10:09.445119 Motor1-0.0 Motor2-2.591 ImgX-551 ImgY-278 F--96.0 Strain-?
2023-06-21-17:10:09.504975 Motor1-0.0 Motor2-2.35 ImgX-551 ImgY-277 F--96.0 Strain-?
2023-06-21-17:10:09.567805 Motor1-0.0 Motor2-2.011 ImgX-550 ImgY-277 F--48.0 Strain-?
2023-06-21-17:10:15.609662 Motor1-0.0 Motor2-1.605 ImgX-525 ImgY-278 F-1152.0 Strain-?
2023-06-21-17:10:16.936870 Motor1-0.0 Motor2-1.309 ImgX-506 ImgY-278 F-2064.0 Strain-?
2023-06-21-17:10:17.499518 Motor1-0.0 Motor2-1.121 ImgX-489 ImgY-278 F-2880.0 Strain-?
2023-06-21-17:10:17.736882 Motor1-0.0 Motor2-0.95 ImgX-473 ImgY-277 F-3648.0 Strain-?
2023-06-21-17:10:17.834621 Motor1-0.0 Motor2-0.782 ImgX-450 ImgY-277 F-4752.0 Strain-?
2023-06-21-17:10:17.897624 Motor1-0.0 Motor2-0.592 ImgX-450 ImgY-277 F-4752.0 Strain-?
