3.8587 Motor1@0.0 Motor2@0.150 ImgX@358 ImgY@304 F@2100.0 Strain@0.05689999999999999
3.8880 Motor1@0.0 Motor2@0.148 ImgX@357 ImgY@303 F@2160.0 Strain@0.056600000000000004
3.9202 Motor1@0.0 Motor2@0.147 ImgX@357 ImgY@303 F@2160.0 Strain@0.05669999999999999
3.9495 Motor1@0.0 Motor2@0.145 ImgX@356 ImgY@304 F@2220.0 Strain@0.056400000000000006
3.9817 Motor1@0.0 Motor2@0.143 ImgX@356 ImgY@304 F@2220.0 Strain@0.056600000000000004
4.0130 Motor1@0.0 Motor2@0.141 ImgX@356 ImgY@304 F@2220.0 Strain@0.0568
4.0447 Motor1@0.0 Motor2@0.139 ImgX@356 ImgY@304 F@2220.0 Strain@0.05700000000000001
4.0740 Motor1@0.0 Motor2@0.136 ImgX@354 ImgY@304 F@2340.0 Strain@0.056299999999999996
4.1092 Motor1@0.0 Motor2@0.133 ImgX@354 ImgY@304 F@2340.0 Strain@0.056600000000000004
4.1385 Motor1@0.0 Motor2@0.131 ImgX@354 ImgY@304 F@2340.0 Strain@0.0568
4.1697 Motor1@0.0 Motor2@0.128 ImgX@354 ImgY@304 F@2340.0 Strain@0.0571
4.1995 Motor1@0.0 Motor2@0.126 ImgX@354 ImgY@304 F@2340.0 Strain@0.0573
4.2337 Motor1@0.0 Motor2@0.124 ImgX@354 ImgY@304 F@2340.0 Strain@0.057499999999999996
4.2620 Motor1@0.0 Motor2@0.117 ImgX@354 ImgY@304 F@2340.0 Strain@0.05820000000000001
4.2947 Motor1@0.0 Motor2@0.116 ImgX@354 ImgY@304 F@2340.0 Strain@0.0583
4.3245 Motor1@0.0 Motor2@0.113 ImgX@352 ImgY@303 F@2460.0 Strain@0.057600000000000005
4.3578 Motor1@0.0 Motor2@0.109 ImgX@352 ImgY@303 F@2460.0 Strain@0.05800000000000001
4.3871 Motor1@0.0 Motor2@0.107 ImgX@352 ImgY@303 F@2460.0 Strain@0.05820000000000001
4.4198 Motor1@0.0 Motor2@0.104 ImgX@352 ImgY@303 F@2460.0 Strain@0.05850000000000001
4.4506 Motor1@0.0 Motor2@0.100 ImgX@351 ImgY@304 F@2520.0 Strain@0.05840000000000001
4.4818 Motor1@0.0 Motor2@0.098 ImgX@351 ImgY@304 F@2520.0 Strain@0.058600000000000006
4.5123 Motor1@0.0 Motor2@0.093 ImgX@350 ImgY@304 F@2580.0 Strain@0.058600000000000006
4.5452 Motor1@0.0 Motor2@0.090 ImgX@350 ImgY@304 F@2580.0 Strain@0.05890000000000001
4.5745 Motor1@0.0 Motor2@0.088 ImgX@350 ImgY@303 F@2580.0 Strain@0.05910000000000001
4.6062 Motor1@0.0 Motor2@0.084 ImgX@350 ImgY@303 F@2580.0 Strain@0.05950000000000001
4.6370 Motor1@0.0 Motor2@0.084 ImgX@349 ImgY@304 F@2640.0 Strain@0.05900000000000001
4.6687 Motor1@0.0 Motor2@0.080 ImgX@349 ImgY@304 F@2640.0 Strain@0.05940000000000001
4.6990 Motor1@0.0 Motor2@0.075 ImgX@348 ImgY@303 F@2700.0 Strain@0.05940000000000001
4.7307 Motor1@0.0 Motor2@0.074 ImgX@348 ImgY@303 F@2700.0 Strain@0.05950000000000001
4.7625 Motor1@0.0 Motor2@0.071 ImgX@348 ImgY@304 F@2700.0 Strain@0.059800000000000006
4.7947 Motor1@0.0 Motor2@0.067 ImgX@348 ImgY@304 F@2700.0 Strain@0.0602
4.8255 Motor1@0.0 Motor2@0.062 ImgX@347 ImgY@304 F@2760.0 Strain@0.06020000000000001
4.8567 Motor1@0.0 Motor2@0.058 ImgX@347 ImgY@304 F@2760.0 Strain@0.0606
4.8884 Motor1@0.0 Motor2@0.056 ImgX@346 ImgY@304 F@2820.0 Strain@0.0603
4.9509 Motor1@0.0 Motor2@0.050 ImgX@346 ImgY@304 F@2820.0 Strain@0.060899999999999996
4.9802 Motor1@0.0 Motor2@0.048 ImgX@346 ImgY@304 F@2820.0 Strain@0.0611
5.0129 Motor1@0.0 Motor2@0.046 ImgX@345 ImgY@304 F@2880.0 Strain@0.0608
5.0452 Motor1@0.0 Motor2@0.042 ImgX@345 ImgY@304 F@2880.0 Strain@0.0612
5.0749 Motor1@0.0 Motor2@0.040 ImgX@344 ImgY@303 F@2940.0 Strain@0.060899999999999996
5.1092 Motor1@0.0 Motor2@0.035 ImgX@344 ImgY@303 F@2940.0 Strain@0.061399999999999996
5.1370 Motor1@0.0 Motor2@0.033 ImgX@345 ImgY@304 F@2880.0 Strain@0.0621
5.1697 Motor1@0.0 Motor2@0.027 ImgX@345 ImgY@304 F@2880.0 Strain@0.0627
5.1995 Motor1@0.0 Motor2@0.025 ImgX@343 ImgY@304 F@3000.0 Strain@0.0619
5.2312 Motor1@0.0 Motor2@0.022 ImgX@343 ImgY@304 F@3000.0 Strain@0.0622
5.2615 Motor1@0.0 Motor2@0.018 ImgX@343 ImgY@303 F@3000.0 Strain@0.0626
