2023-08-15-16:38:42.691879 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:42.754870 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@141 F@1000.0 Strain@0.0935
2023-08-15-16:38:42.816873 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:42.877879 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:42.942360 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:43.004856 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:43.065863 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:43.128365 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:43.193571 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:43.256066 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:43.318563 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:43.380067 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:43.441076 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:43.504067 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:43.567691 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:43.628699 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:43.693179 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:43.756171 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:43.815692 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:43.880172 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:43.943660 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@140 F@980.0 Strain@0.094
2023-08-15-16:38:44.004171 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:44.067371 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:44.127887 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:44.190875 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@138 F@1000.0 Strain@0.0935
2023-08-15-16:38:44.254567 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:44.316753 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:44.379250 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:44.442950 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@141 F@1000.0 Strain@0.0935
2023-08-15-16:38:44.504950 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@139 F@980.0 Strain@0.094
2023-08-15-16:38:44.565566 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@140 F@980.0 Strain@0.094
2023-08-15-16:38:44.628559 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@140 F@980.0 Strain@0.094
2023-08-15-16:38:44.694706 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@139 F@980.0 Strain@0.094
2023-08-15-16:38:44.753730 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@141 F@1000.0 Strain@0.0935
2023-08-15-16:38:44.816721 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:44.880209 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:44.941713 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:45.003217 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:45.069682 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:45.130193 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@140 F@980.0 Strain@0.094
2023-08-15-16:38:45.192194 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:45.255683 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:45.315638 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:45.381191 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@140 F@980.0 Strain@0.094
2023-08-15-16:38:45.443688 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:45.503537 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:45.566750 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@139 F@980.0 Strain@0.094
2023-08-15-16:38:45.630238 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:45.691245 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@139 F@980.0 Strain@0.094
2023-08-15-16:38:45.755744 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:45.818241 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@139 F@980.0 Strain@0.094
2023-08-15-16:38:45.879745 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@141 F@1000.0 Strain@0.0935
2023-08-15-16:38:45.942241 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:46.006225 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:46.067232 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
